U,delta,r
6.110007286071777,-0.5202139019966125,-2.0267010768293403e-05
6.110007286071777,-0.5202139019966125,-2.0267010768293403e-05
6.110007286071777,-0.5202139019966125,-2.0267010768293403e-05
6.110007286071777,-0.5202139019966125,-2.0267010768293403e-05
6.110007286071777,-0.44112327694892883,-1.718571911624167e-05
6.110007286071777,-0.44112327694892883,-1.718571911624167e-05
6.110007286071777,-0.44112327694892883,-1.718571911624167e-05
6.110007286071777,-0.44112327694892883,-1.718571911624167e-05
6.110007286071777,-0.3379157781600952,-1.3164859410608187e-05
6.110007286071777,-0.3379157781600952,-1.3164859410608187e-05
6.110007286071777,-0.3379157781600952,-1.3164859410608187e-05
6.110007286071777,-0.46510177850723267,-1.8119897504220717e-05
6.110007286071777,-0.46510177850723267,-1.8119897504220717e-05
6.110007286071777,-0.46510177850723267,-1.8119897504220717e-05
6.110007286071777,-0.46510177850723267,-1.8119897504220717e-05
6.110007286071777,-0.5448620915412903,-2.1227278921287507e-05
6.110007286071777,-0.5448620915412903,-2.1227278921287507e-05
6.110007286071777,-0.5448620915412903,-2.1227278921287507e-05
6.110007286071777,-0.38744625449180603,-1.5094516129465774e-05
6.110007286071777,-0.38744625449180603,-1.5094516129465774e-05
6.110007286071777,-0.38744625449180603,-1.5094516129465774e-05
6.110007286071777,-0.38744625449180603,-1.5094516129465774e-05
6.110007286071777,-0.21291464567184448,-8.294940926134586e-06
6.110007286071777,-0.21291464567184448,-8.294940926134586e-06
6.110007286071777,-0.21291464567184448,-8.294940926134586e-06
6.110007286071777,-0.14168575406074524,-5.519934347830713e-06
6.110007286071777,-0.14168575406074524,-5.519934347830713e-06
6.110007286071777,-0.14168575406074524,-5.519934347830713e-06
6.110007286071777,-0.29836505651474,-1.1624003491306212e-05
6.110007286071777,-0.29836505651474,-1.1624003491306212e-05
6.110007286071777,-0.29836505651474,-1.1624003491306212e-05
6.110007286071777,-0.1310494989156723,-5.105556738271844e-06
6.110007286071777,-0.1310494989156723,-5.105556738271844e-06
6.110007286071777,-0.1310494989156723,-5.105556738271844e-06
6.110007286071777,-0.20377583801746368,-7.93890194472624e-06
6.110007286071777,-0.20377583801746368,-7.93890194472624e-06
6.110007286071777,-0.20377583801746368,-7.93890194472624e-06
6.110007286071777,-0.13277895748615265,-5.1729348342632875e-06
6.110007286071777,-0.13277895748615265,-5.1729348342632875e-06
6.110007286071777,-0.13277895748615265,-5.1729348342632875e-06
6.110007286071777,-0.13277895748615265,-5.1729348342632875e-06
6.110007286071777,0.02484644390642643,9.679924914962612e-07
6.110007286071777,0.02484644390642643,9.679924914962612e-07
6.110007286071777,0.02484644390642643,9.679924914962612e-07
6.110007286071777,0.02484644390642643,9.679924914962612e-07
6.110007286071777,0.0346161387860775,1.3486099987858324e-06
6.110007286071777,0.0346161387860775,1.3486099987858324e-06
6.110007286071777,0.0346161387860775,1.3486099987858324e-06
6.110007286071777,0.09886696189641953,3.851757355732843e-06
6.110007286071777,0.09886696189641953,3.851757355732843e-06
6.110007286071777,0.09886696189641953,3.851757355732843e-06
6.110007286071777,0.09886696189641953,3.851757355732843e-06
6.110007286071777,0.18608902394771576,7.249841473822016e-06
6.110007286071777,0.18608902394771576,7.249841473822016e-06
6.110007286071777,0.18608902394771576,7.249841473822016e-06
6.110007286071777,0.18608902394771576,7.249841473822016e-06
6.110007286071777,0.3346090316772461,1.3036031305091456e-05
6.110007286071777,0.3346090316772461,1.3036031305091456e-05
6.110007286071777,0.3346090316772461,1.3036031305091456e-05
6.110007286071777,0.34113186597824097,1.3290155038703233e-05
6.110007286071777,0.34113186597824097,1.3290155038703233e-05
6.110007286071777,0.34113186597824097,1.3290155038703233e-05
6.110007286071777,0.4174429774284363,1.6263158613583073e-05
6.110007286071777,0.4174429774284363,1.6263158613583073e-05
6.110007286071777,0.4174429774284363,1.6263158613583073e-05
6.110007286071777,0.44125619530677795,1.7190897779073566e-05
6.110007286071777,0.44125619530677795,1.7190897779073566e-05
6.110007286071777,0.44125619530677795,1.7190897779073566e-05
6.110007286071777,0.4214734137058258,1.6420181054854766e-05
6.110007286071777,0.4214734137058258,1.6420181054854766e-05
6.110007286071777,0.4214734137058258,1.6420181054854766e-05
6.110007286071777,0.4214734137058258,1.6420181054854766e-05
6.110007286071777,0.3948152959346771,1.5381607227027416e-05
6.110007286071777,0.3948152959346771,1.5381607227027416e-05
6.110007286071777,0.3948152959346771,1.5381607227027416e-05
6.110007286071777,0.353603720664978,1.3776046216662508e-05
6.110007286071777,0.353603720664978,1.3776046216662508e-05
6.110007286071777,0.353603720664978,1.3776046216662508e-05
6.110007286071777,0.5177705883979797,2.0171821233816445e-05
6.110007286071777,0.5177705883979797,2.0171821233816445e-05
6.110007286071777,0.5177705883979797,2.0171821233816445e-05
6.110007286071777,0.6289467811584473,2.4503135136910714e-05
6.110007286071777,0.6289467811584473,2.4503135136910714e-05
6.110007286071777,0.6289467811584473,2.4503135136910714e-05
6.110007286071777,0.7499557733535767,2.921752275142353e-05
6.110007286071777,0.7499557733535767,2.921752275142353e-05
6.110007286071777,0.7499557733535767,2.921752275142353e-05
6.110007286071777,0.6098683476448059,2.3759857867844403e-05
6.110007286071777,0.6098683476448059,2.3759857867844403e-05
6.110007286071777,0.6098683476448059,2.3759857867844403e-05
6.110007286071777,0.4984215497970581,1.9418002921156585e-05
6.110007286071777,0.4984215497970581,1.9418002921156585e-05
6.110007286071777,0.4984215497970581,1.9418002921156585e-05
